title,author,description,price,quantity,availability,isbn
Assistive Technologies for Physical and Cognitive Disabilities,Lau Bee Theng,Medical Information Science Reference,293,1,true,978-7344615445
Physics for Electronics Engineering and Information Science,S. Salivahanan,McGraw-Hill Education,925,4,false,978-3095150956
Mathematical methods for the physical sciences : an informal treatment for students of physics and engineering,K  F Riley,Cambridge University Press,608,9,false,978-6447725985
"Nuclear Science: Nuclear Production of Hydrogen Fourth Information Exchange Meeting, Oakbrook, Illinois, USA, 14-16 April 2009",Organization for Economic Cooperation an,Organization for Economic Cooperation & Devel,780,4,true,978-1160185652
Mathematical methods for the physical sciences : an informal treatment for students of physics and engineering,Riley K.F.,Cambridge University Press,319,6,true,978-3629225417
Discrete Mathematics and Its Applications,Kenneth Rosen,McGraw-Hill Higher Education,798,1,true,978-0712970338
"Schaums Outline of Discrete Mathematics, Revised Third Edition",Seymour Lipschutz,McGraw-Hill,882,6,false,978-2404124837
Discrete Mathematics with Applications,Susanna S. Epp,Cengage Learning,315,3,false,978-8456017691
Discrete Fourier Analysis and Wavelets: Applications to Signal and Image Processing,S. Allen Broughton,Wiley,878,9,true,978-9332572406
A Beginner's Guide to Discrete Mathematics,W. D. Wallis,Birkhäuser Basel,392,2,true,978-0516347052
"Discrete Mathematics and Its Applications, seventh edition",Kenneth Rosen,McGraw-Hill Science/Engineering/Math,219,1,false,978-2381368721
Discrete mathematics and its applications,Rosen,McGraw-Hill,962,10,true,978-0602849723
Essential Discrete Mathematics for Computer Science,Harry Lewis,Princeton University Press,660,2,true,978-5101936940
Foundations of Discrete Mathematics with Algorithms and Programming,Sriraman Sridharan,CRC Press,443,3,false,978-6921837101
Logic and Discrete Mathematics: A Concise Introduction,Willem Conradie,Wiley,792,3,true,978-5639283006
Mathematics for Computer Science,Eric Lehman,MIT OCWare,157,5,true,978-5792995193
How to Prove It: A Structured Approach,Velleman D. J.,Detailed description of this engineering book is currently unavailable.,420,8,false,978-0239723380
Discrete Mathematics Demystified,Steven Krantz,McGraw-Hill Professional,891,3,true,978-0383862994
Discrete Mathematics,Richard Johnsonbaugh,Pearson,475,5,false,978-8276193424
Student’s Solutions Guide to Accompany Discrete Mathematics and Its Applications,Kenneth H Rosen,McGraw-Hill,201,6,true,978-7010349739
Discrete Mathematics with Applications,Thomas Koshy,Academic Press,275,6,true,978-9116727274
"Discrete and Combinatorial Mathematics: An Applied Introduction, Fifth Edition",Ralph P. Grimaldi,Pearson,718,3,true,978-7056318368
Proofs that really count: the art of combinatorial proof,Arthur T. Benjamin,Mathematical Association of America,382,5,false,978-7703462465
Discrete Mathematics for Computer Science,David Liben-Nowell,Wiley,125,7,false,978-5872819835
Essential discrete mathematics for computer science,Lewis HARRY.,Princeton University Press,277,2,true,978-9719095748
"Principles of Transistor Circuits. Introduction to the Design of Amplifiers, Receivers and Digital Circuits",S W Amos (Auth.),Newnes,841,10,true,978-4781598123
"Principles of Transistor Circuits. Introduction to the Design of Amplifiers, Receivers and Digital Circuits",S W Amos (Auth.),Butterworth-Heinemann,853,5,false,978-9593088884
Digital Principles and Logic Design ,Arijit Saha,Jones & Bartlett Publishers,701,4,false,978-3363028442
"Digital Signal Processing. Principles, Algorithms and System Design",Winser Alexander and Cranos M. Williams (Auth.), Academic Press ,287,5,false,978-8895254110
"Digital Design for Print and Web: An Introduction to Theory, Principles, and Techniques",John DiMarco,Wiley,714,7,false,978-3049624813
"Principles of Transistor Circuits. Introduction to the Design of Amplifiers, Receivers and Digital Circuits",S W Amos (Auth.),Butterworths,380,4,true,978-3392298244
Digital Design: Principles and Practices,John F. Wakerly,Prentice Hall,932,10,false,978-7991970764
Digital Systems : Principles and Design (For Anna University),Raj Kamal,Pearson Education,767,10,true,978-2120154768
"Digital Design: Principles and Practices, Chegg Solution Manual",John F. Wakerly,Prentice Hall,315,6,true,978-5688508686
Visual Usability. Principles and Practices for Designing Digital Applications,Tania Schlatter and Deborah Levinson (Auth.),Detailed description of this engineering book is currently unavailable.,999,1,true,978-2263907079
Digital design: principles and practices,Wakerly,Pearson/Prentice Hall,533,6,false,978-0083305922
Principles of power integrity for PDN design -- simplified : robust and cost effective design for high speed digital products,Larry D. Smith & Eric Bogatin,Prentice Hall,119,1,false,978-2537568708
Digital Principles and Logic Design (Engineering) (Computer Science) (Engineering Series),Arijit Saha,Jones & Bartlett Publishers,612,2,true,978-6453200948
Digital Design: Basic Concepts and Principles,Mohammad A. Karim,CRC Press,546,7,true,978-9699984915
Digital Principles and Logic Design,Arijit Saha,Jones & Bartlett Publishers,618,5,true,978-0339559536
Digital Design: Principles and Practices,John F. Wakerly,Prentice Hall,874,8,true,978-9515770109
Digital Design: Principles and Practices (3rd Edition) Solution Manual,John F. Wakerly,Prentice Hall,270,7,true,978-2282627824
"Digital Design for Print and Web: An Introduction to Theory, Principles, and Techniques",John DiMarco,Wiley,839,7,false,978-0149275810
Digital Design: Principles and Practices (3rd Edition),John F. Wakerly,Prentice Hall,815,6,false,978-6947831620
Digital Sonar Design in Underwater Acoustics: Principles and Applications,Qihu Li,Springer,854,9,true,978-3888312696
"Extreme C: Taking You To The Limit In Concurrency, OOP, And The Most Advanced Capabilities Of C",Kamran Amini,Packt Publishing,558,3,false,978-4094828778
"Learning Object-Oriented Programming: Explore and crack the OOP code in Python, JavaScript, and C#",Gaston C. Hillar,Packt Publishing,553,5,false,978-0431809928
Oop - Learn Object Oriented Thinking and Programming,Rudolf Pecinovsky,Tomas Bruckner,806,10,false,978-6223614853
99 Bottles of OOP: A Practical Guide to Object-Oriented Design,Katrina Owen and Sandi Metz,"Potato Canyon Software, LLC",491,3,true,978-8947411386
99 Bottles of OOP: A Practical Guide to Object-Oriented Design,Sandi Metz,Detailed description of this engineering book is currently unavailable.,734,8,false,978-6371996389
Fundamentals of OOP and Data Structures in Java,Richard Wiener,Cambridge University Press,730,2,true,978-2467176295
"Learn Kotlin Programming: A comprehensive guide to OOP, functions, concurrency, and coroutines in Kotlin 1.3, 2nd Edition",Stephen Samuel,Packt Publishing Ltd,509,4,false,978-3086771360
OOP Concepts Booster: Take Your Coding Skills to the Next Level,Rakesh Singh,Notion Press,486,7,false,978-1240812379
OOP Demystified,James Keogh,McGraw-Hill/Osborne,161,2,false,978-9954047447
OOP with Microsoft Visual Basic.NET and Microsoft Visual C# .NET step by step,Robin A Reynolds-Haertle,Microsoft Press,520,6,true,978-3923571515
"Mastering Object-Oriented Python: Build powerful applications with reusable code using OOP design patterns and Python 3.7, 2nd Edition",Lott,Packt Publishing,190,6,true,978-9610440570
"Extreme C: Taking you to the limit in Concurrency, OOP, and the most advanced capabilities of C",Kamran Amini,Packt Publishing,651,5,true,978-8257731447
"Learn Kotlin Programming: A comprehensive guide to OOP, functions, concurrency, and coroutines in Kotlin 1.3, 2nd Edition",Stephen Samuel,Packt Publishing Ltd,239,8,false,978-9283614363
Oops! Did I Really Post That?: Online Etiquette in the New Digital Age,Hickey,Motivational Press,430,1,false,978-9454089420
OOP Concepts Booster : Take Your Coding Skills to the Next Level,Rakesh Singh,Notion Press,947,1,true,978-8794721291
PHP 5 OOP,Ilia Alshanetsky,Int. PHP Conf.,677,3,false,978-4965098907
OOP demystified ,Jim Keogh,McGraw-Hill Professional,961,4,false,978-8922130627
OOPS! ’I’ fell in love! just by chance...,Snehanshu Harsh,Detailed description of this engineering book is currently unavailable.,332,6,true,978-1925016478
OOP Demystified ,James Keogh,McGraw-Hill Osborne Media,641,4,false,978-9650273551
From COBOL to OOP,Markus Knasmüller (Auth.),Morgan Kaufmann,735,5,false,978-1369625238
"Coding Theory - Algorithms, Architectures, and Applications",Andre Neubauer,Wiley-Interscience,670,7,false,978-2350294279
Classic Computer Science Problems in Python,David Kopec,Manning,224,6,false,978-0291551155
The Algorithm Design Manual,Steven S. Skiena,Springer,658,10,false,978-1284059834
"Data Analysis From Scratch With Python: Beginner Guide using Python, Pandas, NumPy, Scikit-Learn, IPython, TensorFlow and Matplotlib",Peters Morgan,AI Sciences LLC,222,4,false,978-7719680369
Data Structures and Algorithms Made Easy: Data Structures and Algorithmic Puzzles,Narasimha Karumanchi,CareerMonk Plublications,256,9,true,978-2496884042
Algorithms for Dummies,John Paul Mueller,Wiley,592,2,false,978-2900125786
Learning Algorithms Through Programming and Puzzle Solving,Alexander S. Kulikov,Active Learning Technologies,101,9,true,978-0641166516
Data Structures and Algorithms in Python,Michael T. Goodrich,Wiley,435,8,false,978-1725291426
Algorithms Illuminated (Part 2): Graph Algorithms and Data Structures,Tim Roughgarden,"Soundlikeyourself Publishing, LLC",807,7,true,978-5904796832
The Art of Data Science: A Guide for Anyone Who Works with Data,Roger D. Peng,Detailed description of this engineering book is currently unavailable.,813,10,false,978-8285180501
Information Dashboard Design: The Effective Visual Communication of Data,Stephen Few,O'Reilly Media,100,5,false,978-0672320670
Dynamic Programming for Coding Interviews: A Bottom-Up Approach to Problem Solving,Meenakshi,Notion Press,352,6,false,978-6079291741
Algorithms Unlocked,Thomas H. Cormen,The MIT Press,902,9,false,978-0377287030
Data Structure and Algorithmic Thinking with Python  Data Structure and Algorithmic Puzzles,Narasimha Karumanchi,CareerMonk Publications,710,3,true,978-5646625622
Deep Learning for Computer Vision with Python,Adrian Rosebrock,PyImageSearch,560,6,false,978-7192045810
"Algorithms, 4th Edition: Essential Information about Algorithms and Data Structures",Robert Sedgewick,Addison-Wesley,297,7,false,978-7297088201
Data Science For Dummies,Lillian Pierson,John Wiley & Sons,392,8,false,978-7218286895
Analytics in a Big Data World: The Essential Guide to Data Science and its Applications,Bart Baesens,Wiley,112,8,false,978-5943218741
Serious Cryptography: A Practical Introduction to Modern Encryption,Jean-Philippe Aumasson,No Starch Press,690,9,false,978-5782449355
Data Structures and Algorithms in C++,Adam Drozdek,Cengage Learning,975,9,false,978-7460588874
"Coding Theory - Algorithms, Architectures, and Applications",Andre Neubauer,Wiley-Interscience,384,2,true,978-4300079957
"Python Deep Learning: Exploring deep learning techniques, neural network architectures and GANs with PyTorch, Keras and TensorFlow",Ivan Vasilev,Packt Publishing,430,10,true,978-5121283926
Clean Architecture: A Craftsman’s Guide to Software Structure and Design,Robert C. Martin,Prentice Hall,737,9,true,978-5608294705
"Internet of Things: Architectures, Protocols and Standards",Simone Cirani,Wiley,137,7,false,978-1535434501
"Computer Architecture, Sixth Edition: A Quantitative Approach",John L. Hennessy,Morgan Kaufmann,463,3,true,978-3673548739
Computer Systems: A Programmer's Perspective,Randal E. Bryant,Pearson,218,7,true,978-9099526133
Practical C++ Design: From Programming to Architecture,Adam B. Singer,Apress,384,8,false,978-8785184713
Semantic Software Design: A New Theory and Practical Guide for Modern Architects,Eben Hewitt,"O’Reilly Media, Inc.",606,8,true,978-1113141301
Practical Microservices Architectural Patterns - Event-Based Java Microservices with Spring Boot and Spring Cloud,Binildas Christudas,Apress,468,2,false,978-5657542056
Computer Organization and Architecture Designing for Performance 10th Edition,William Stallings,Pearson,597,6,true,978-9933167324
"SQL & NoSQL Databases: Models, Languages, Consistency Options and Architectures for Big Data Management",Andreas Meier,Springer Vieweg,171,6,true,978-4889452139
Software Architecture Patterns,Mark Richards,O'Reilly,153,8,false,978-5344754439
"Fundamentals of Neural Networks: Architectures, Algorithms, and Applications",Fausett L.,Detailed description of this engineering book is currently unavailable.,924,9,false,978-7068873963
Software architecture in practice,Len Bass,Addison-Wesley Professional,262,8,false,978-5390725900
The Elements of Computing Systems: Building a Modern Computer from First Principles,Noam Nisan,The MIT Press,830,8,true,978-5237025718
Serverless Architectures on AWS: With examples using AWS Lambda,Peter Sbarski,Manning Publications,164,6,false,978-2294344134
"Digital Design and Computer Architecture, Second Edition",David M. Harris,Morgan Kaufmann,566,6,true,978-0753031988
Game Engine Architecture,Jason Gregory,A K Peters/CRC Press,963,2,true,978-0033996647
Building Intelligent Cloud Applications: Develop Scalable Models Using Serverless Architectures with Azure,John Biggs,O’Reilly Media,779,1,true,978-2261736023
API Architecture - The Big Picture for Building APIs,Matthias Biehl,CreateSpace,338,10,true,978-2596865383
"Database Systems: Design, Implementation, and Management",Carlos Coronel,Cengage,897,3,false,978-6882954743
"Database Modeling and Design, Fifth Edition: Logical Design (The Morgan Kaufmann Series in Data Management Systems)",Toby J. Teorey,Morgan Kaufmann,600,7,false,978-8249880259
"Database Systems: A Practical Approach to Design, Implementation, and Management: Global Edition",Thomas Connolly,Pearson Education Limited,122,8,false,978-0225598924
Database Management Systems,Raghu Ramakrishnan,Detailed description of this engineering book is currently unavailable.,780,10,false,978-2631230022
"Introduction to Database Management System, 2nd Edition",Satinder Bal Gupta,University Science Press,715,9,false,978-0666757416
"Database Systems  Design, Implementation, & Management",Carlos Coronel,Course Technology,219,3,true,978-2619518602
"Pro Python System Administration - Learn to manage and monitor your network, web servers, and databases with Python",Sileika R.,Detailed description of this engineering book is currently unavailable.,839,1,false,978-8315626271
Fundamentals of Database Management Systems,Mark L. Gillenson,Wiley,546,3,false,978-6639907133
"Database Systems: Design, Implementation, & Management",Carlos Coronel,Cengage Learning,168,2,false,978-8399754141
"Database Systems: A Practical Approach to Design, Implementation, and Management",Thomas Connolly,Pearson,532,6,false,978-9514621418
"Joe Celko's Thinking in Sets: Auxiliary, Temporal, and Virtual Tables in SQL (The Morgan Kaufmann Series in Data Management Systems)",Joe Celko,Morgan Kaufmann,995,5,false,978-1755948392
Distributed Database Management Systems: A Practical Approach,Saeed K. Rahimi,Detailed description of this engineering book is currently unavailable.,723,9,true,978-3086414509
Database Management Systems,Raghu Ramakrishnan,McGraw-Hill Companies,158,5,true,978-0047531385
Database Management Systems,Raghu Ramakrishnan,McGraw-Hill Science/Engineering/Math,384,4,true,978-2708372520
Spatial Databases: With Application to GIS (The Morgan Kaufmann Series in Data Management Systems),Philippe Rigaux,Morgan Kaufmann,940,7,true,978-2773410817
"Spatial Database Systems: Design, Implementation and Project Management",Albert K.W. Yeung,Springer,465,7,false,978-0266421788
"Database Systems: Design, Implementation, and Management",Carlos Coronel,Course Technology,494,3,false,978-0577486571
Joe Celko's Data and Databases: Concepts in Practice (The Morgan Kaufmann Series in Data Management Systems),Joe Celko,Morgan Kaufmann,984,2,true,978-5819863202
Concept of Database Management Systems,V.K. Pallaw, Asian Books ,324,3,true,978-9212249586
Information Modeling and Relational Databases: From Conceptual Analysis to Logical Design (The Morgan Kaufmann Series in Data Management Systems),Terry Halpin,Morgan Kaufmann,853,10,false,978-3511471003
Introduction to the Design and Analysis of Algorithms  ,Anany Levitin,Addison Wesley (Pearson Education Inc.),239,6,false,978-6135999720
Design and Analysis of Data Structures,Niema Moshiri,Independently published,127,8,true,978-3896111295
Design and Analysis of Algorithms. A contemporary Perspective,Sandeep Sen,Cambridge University Press,229,2,true,978-9983947395
The Design and Analysis of Computer Algorithms,Alfred V. Aho,Addison-Wesley,590,4,false,978-6295143549
The Design and Analysis of Computer Algorithms,Alfred V. Aho,Addison-Wesley Publishing Company,750,6,false,978-1297397143
"Introduction to the Design and Analysis of Algorithms, 3rd Edition  ",Anany Levitin,Addison Wesley,244,6,false,978-7534390696
"Introduction to The Design and Analysis of Algorithms, 2nd Edition Solution Manual",Anany Levitin,Detailed description of this engineering book is currently unavailable.,764,5,true,978-0391435008
"Numerical Methods: Design, Analysis, and Computer Implementation of Algorithms",Anne Greenbaum,Princeton University Press,188,9,false,978-3856785580
Analog Electronics Applications: Fundamentals of Design and Analysis,Hernando Lautaro Fernandez-Canque,CRC Press,459,5,false,978-8731512739
"Algorithmics of Large and Complex Networks: Design, Analysis, and Simulation",Deepak Ajwani,Springer-Verlag Berlin Heidelberg,468,10,false,978-3476551897
The Design and Analysis of Parallel Algorithms,Selim G. Akl,Prentice Hall,623,1,true,978-0448966348
Introduction to the Design and Analysis of Algorithms,Anany Levitin,Pearson,592,4,false,978-7717835154
Introduction to the Design and Analysis of Algorithms (2nd Edition),Anany Levitin,Pearson Education Services Private Limited,568,5,true,978-8924449045
Design and Analysis of Distributed Algorithms (Wiley Series on Parallel and Distributed Computing),Nicola Santoro,Wiley-Interscience,984,10,true,978-4080835276
Analysis And Design Of Algorithms,Amrinder Arora,Cognella Academic Publishing,334,8,true,978-9485500032
Design and Analysis of Distributed Algorithms,Nicola Santoro,Wiley-Interscience,829,6,false,978-0206116069
Design and Analysis of Algorithms: A Contemporary Perspective,Sandeep Sen,Cambridge University Press,955,10,true,978-5178098515
Design and Analysis of Randomized Algorithms: Introduction to Design Paradigms,Juraj Hromkovič,Springer,144,4,false,978-7832784238
"Introduction to the Design and Analysis of Algorithms, 3rd edition - Solution Manual",Anany Levitin,Detailed description of this engineering book is currently unavailable.,811,9,false,978-8534083534
"Analysis of Messy Data Volume 1: Designed Experiments, Second Edition",George A. Milliken,Detailed description of this engineering book is currently unavailable.,304,4,true,978-6748162226
The Linux Command Line: A Complete Introduction,William E. Shotts,No Starch Press,464,6,true,978-0277119970
Linux Command Line and Shell Scripting Bible,Richard Blum,Wiley,558,1,false,978-9023649006
Operating System Concepts,Abraham Silberschatz,Wiley,390,9,true,978-3386256627
How Linux Works: What Every Superuser Should Know,Brian Ward,No Starch Press,857,9,true,978-4338422622
"Linux All-In-One For Dummies, 6th Edition",Emmett Dulaney,John Wiley & Sons,222,8,false,978-9431920465
"Learn Kali Linux 2019: Perform Powerful Penetration Testing Using Kali Linux, Metasploit, Nessus, Nmap, And Wireshark",Glen D. Singh,Packt Publishing,113,9,true,978-0542802695
Modern Operating Systems,Andrew S. Tanenbaum,Pearson,859,7,false,978-8522381480
Linux system programming: talking directly to the kernel and C library,Robert Love,O'Reilly Media,235,10,true,978-5426236763
UNIX and Linux System Administration Handbook,Evi Nemeth et al.,Addison-Wesley,624,6,true,978-9886476575
Operating Systems: Three Easy Pieces,Remzi H. Arpaci-Dusseau,Arpaci-Dusseau,839,2,false,978-7159566419
Ubuntu Linux Toolbox: 1000+ Commands for Ubuntu and Debian Power Users,Christopher Negus,Wiley,615,6,false,978-2547297110
Linux in Action,David Clinton,Manning Publications,311,2,true,978-0830926350
Android App Development For Dummies,Michael Burton,For Dummies,545,6,false,978-5202947442
深入理解计算机系统,Randal E. Bryant,机械工业出版社,179,8,false,978-8132679095
Linux for Developers Jumpstart Your Linux Programming Skills,William “Bo” Rothwell,Addison-Wesley,477,2,true,978-3656563496
Linux: The Textbook,Syed Mansoor Sarwar,CRC Press,842,1,true,978-3135804499
"Linux: This Book Includes 4 Manuscripts. The Underground Bible to the UNIX Operating System with Tools On Security and Kali Hacking to Understand Computer Programming, Data Science and Command Line",Growth,Detailed description of this engineering book is currently unavailable.,986,4,false,978-4725017023
Linux For Beginners: The Ultimate Guide To The Linux Operating System & Linux,Vardy Adam.,Detailed description of this engineering book is currently unavailable.,735,8,true,978-7269200796
Robot Operating System (ROS) for Absolute Beginners: Robotics Programming Made Easy,Lentin Joseph,Apress,617,3,false,978-4371241177
"Hands-On Docker for Microservices with Python: Design, deploy, and operate a complex system with multiple microservices using Docker and Kubernetes",Jaime Buelta,Packt Publishing,763,3,false,978-8751192452
Excel for Scientists and Engineers - Numerical Methods,E. Joseph Billo,Wiley-Interscience,294,7,true,978-6068900009
Introduction to Python for Science and Engineering,David J. Pine,CRC Press,424,10,false,978-3428033047
 Software Engineering at Google,Hyrum Wright,O'Reilly Media,174,4,false,978-8370714670
An Introduction to MATLAB® Programming and Numerical Methods for Engineers,Timmy Siauw,Academic Press,893,3,false,978-3384865955
Optimization in Practice with MATLAB®: For Engineering Students and Professionals,Achille Messac,Cambridge University Press,779,3,false,978-7289502870
Fundamentals of Software Architecture: An Engineering Approach,Mark Richards,O'Reilly Media,341,6,true,978-9020340295
"Software Engineering, 10th Edition",Ian Sommerville,Pearson,383,4,false,978-2050731920
Software Engineering with UML,Bhuvan Unhelkar,Auerbach Publications;CRC PRESS,807,9,true,978-7809637444
"The Mythical Man-Month: Essays on Software Engineering, Anniversary Edition (2nd Edition)",Frederick P. Brooks,Addison-Wesley Professional,124,9,false,978-4273763268
"How software works : the magic behind encryption, CGI, search engines, and other everyday technologies",Hyde,"No Starch Press, Inc",345,7,false,978-1939423152
Security for Software Engineers,James Helfrich,CRC Press,298,4,false,978-7307827495
Hands-On Software Engineering with Python: Move beyond basic programming and construct reliable and efficient software with complex code,Brian Allbee,Packt Publishing,189,9,false,978-5165800386
"Building a Game with Unity and Blender: Learn how to build a complete 3D game using the industry-leading Unity game development engine and Blender, the graphics software that gives life to your ideas",Lee Zhi Eng,Packt Publishing,910,3,true,978-1760545908
"Foundations of Game Engine Development, Volume 1: Mathematics",Eric Lengyel,Terathon Software,482,1,false,978-1882924935
MATLAB Programming with Applications for Engineers,Stephen J. Chapman,Cengage Learning,569,3,false,978-2761874003
Software Engineering: Architecture-driven Software Development,Richard F Schmidt,Morgan Kaufmann,810,6,false,978-0016700234
MATLAB Control Systems Engineering,Cesar Perez Lopez,Apress,359,7,true,978-6247382625
Mathematics for Physical Science and Engineering: Symbolic Computing Applications in Maple and Mathematica,Frank E. Harris,Academic Press,191,5,true,978-6445643281
Engineering Analysis with ANSYS Software,Tadeusz Stolarski,Butterworth-Heinemann,632,3,true,978-9626302341
"An Engineer's Guide to MATLAB: With Applications from Mechanical, Aerospace, Electrical, Civil, and Biological Systems Engineering, 3rd Edition  ",Edward B. Magrab,Prentice Hall,349,4,true,978-4142798112
Numerical Linear Algebra Theory and Applications,Larisa Beilina,Detailed description of this engineering book is currently unavailable.,685,6,true,978-0753620066
"On the algebraical and numerical theory of errors of observations and the combination of observations (2nd editions, revised, 1875)",Sir George Biddell Airy,Detailed description of this engineering book is currently unavailable.,512,10,true,978-4713225316
Webster's New World Essential Vocabulary for SAT and GRE,David Alan Herzog,Webster's New World,665,7,false,978-4996146030
"Linux Basics for Hackers: Getting Started with Networking, Scripting, and Security in Kali",OccupyTheWeb,No Starch Press,799,10,true,978-8372896187
"Python Deep Learning: Exploring deep learning techniques, neural network architectures and GANs with PyTorch, Keras and TensorFlow",Ivan Vasilev,Packt Publishing,546,2,false,978-1848254203
"The Fine Art of Small Talk: How To Start a Conversation, Keep It Going, Build Networking Skills -- and Leave a Positive Impression!",Debra Fine,Hyperion,433,8,true,978-1574511913
"Computer Networking: A Top-Down Approach, 7th Edition",James Kurose,Pearson,724,6,true,978-2580076016
The Illustrated Network: How TCP/IP Works in a Modern Network,Walter Goralski,Morgan Kaufmann,686,9,true,978-0065688010
Learn Keras for Deep Neural Networks: A Fast-Track Approach to Modern Deep Learning with Python,Jojo John Moolayil,Apress,236,4,true,978-8285035302
Networking All-in-One For Dummies,Doug Lowe,Wiley,281,9,true,978-9734817933
Understanding Network Hacks: Attack and Defense with Python,Bastian Ballmann (auth.),Springer-Verlag Berlin Heidelberg,802,1,false,978-7538915178
"Internet of Things: Architectures, Protocols and Standards",Simone Cirani,Wiley,463,10,true,978-5570876420
Instagram Marketing For Business: How To Get More Targeted Followers And Build A Brand On Instagram,Goodwin Martin.,Detailed description of this engineering book is currently unavailable.,585,2,true,978-8027936945
"Artificial Intelligence for Humans, Volume 3: Deep Learning and Neural Networks",Jeff Heaton,CreateSpace Independent Publishing Platform,455,3,false,978-8388305673
"Attacking Network Protocols: A Hacker’s Guide to Capture, Analysis, and Exploitation",James Forshaw,No Starch Press,803,6,true,978-8745589531
Hacklog Volume 1 Anonymity: IT Security & Ethical Hacking Handbook,Stefano Novelli,BW / Inforge,679,10,true,978-8572050121
Neural Networks: A Visual Introduction for Beginners,Michael Taylor,Blue Windmill Media,808,3,true,978-0491208624
"Dropshipping: Six-Figure Dropshipping Blueprint: Step by Step Guide to Private Label, Retail Arbitrage, Amazon FBA, Shopify",Hawk Jason.,Detailed description of this engineering book is currently unavailable.,483,9,true,978-0863226156
TensorFlow in 1 Day Make your own Neural Network,Krishna Rungta,Amazon Digital Services LLC - Kdp Print Us,294,8,true,978-0547550627
"The TCP/IP Guide: A Comprehensive, Illustrated Internet Protocols Reference",Charles M. Kozierok,No Starch Press,637,6,true,978-9060166326
AWS Certified Solutions Architect Practice Tests: Associate SAA-C01 Exam,Brett McLaughlin,Sybex,789,5,false,978-7630719705
Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,Doubleday,561,6,false,978-5934735621
Introduction to Microprocessors and Microcontrollers,John Crisp,Newnes,180,7,true,978-1928920979
The 8051 Microcontroller and Embedded Systems Using Assembly and C,Muhammad Ali Mazidi,Pearson,812,9,false,978-5509990906
"Microprocessors And Microcontrollers Architecture, Programming And System Design 8085, 8086, 8051, 8096",Krishna Kant,Detailed description of this engineering book is currently unavailable.,258,5,true,978-5265701829
Microprocessor and Microcontroller System,A. P. Godse and Mrs. D. A. Godse,Detailed description of this engineering book is currently unavailable.,766,10,false,978-2881626488
Programming and customizing the PIC microcontroller,Myke Predko,McGraw-Hill/TAB Electronics,451,8,false,978-3081660557
Microprocessors and Microcontrollers (Second Edition),R.S. Kaler,I K International Publishing House,121,10,true,978-0506293222
"8051 Microcontroller and Embedded Systems, The",Muhammad Ali Mazidi,Detailed description of this engineering book is currently unavailable.,907,9,false,978-9258303585
"Designing Embedded Systems with PIC Microcontrollers, Second Edition: Principles and Applications",Tim Wilmshurst,Newnes,642,6,false,978-0386320824
Embedded Systems Design with the Atmel AVR Microcontroller (Synthesis Lectures on Digital Circuits and Systems),Steven Barrett,Morgan & Claypool Publishers,889,6,true,978-8307040999
Atmel AVR Microcontroller Primer: Programming and Interfacing ,Steven F. Barrett,Morgan & Claypool Publishers,682,5,false,978-4948914307
"Simple ESP8266 Microprocessor Utilizing projects hands on: Send Text Message (SMS), Send E-mail utilizing PIC Microcontroller, Home Automation utilizing ESP8266, Arduino IDE and Flashing its Memory.",K,Detailed description of this engineering book is currently unavailable.,907,7,false,978-7990702862
Programming and Customizing the Avr Microcontroller,Unknown Author,Detailed description of this engineering book is currently unavailable.,334,7,true,978-8397770489
C Programming for Microcontrollers Featuring ATMEL's AVR Butterfly and the free WinAVR Compiler,Joe Pardue,Smiley Micros,741,6,true,978-5976564912
"The 8051 Microcontroller Architecture, Programming and Applications",Delmar Thomson,Detailed description of this engineering book is currently unavailable.,773,2,true,978-6153713937
Microcontrollers Fundamentals for Engineers And Scientists,Steven F. Barrett,Morgan and Claypool Publishers,166,6,false,978-7780386624
Analog and Digital Circuits for Electronic Control System Applications: Using the TI MSP430 Microcontroller,Jerry Luecke,Newnes,708,3,false,978-6081006267
HCS12 Microcontroller and Embedded Systems: Using Assembly and C with CodeWarrior,Muhammad Ali Mazidi and Danny Causey,Pearson Education,181,9,true,978-0013223832
"Microprocessors and Microcontrollers: Architecture, Programming & Interfacing using 8085, 8086, and 8051",S.K Mandal,Tata Mcgraw Hill Education,821,9,false,978-4606639121
Embedded Systems Design with 8051 Microcontrollers Hardware and Software,Zdravko Karakehayov,CRC Press,680,8,true,978-0486267933
"The 8051 Microcontroller Architecture, Programming And Applications",Delmar Thomson,Detailed description of this engineering book is currently unavailable.,418,4,true,978-8780139707
Elements of Information Theory,Thomas M. Cover,Wiley-Interscience,749,7,true,978-9928223462
Introduction to the Theory of Computation,Michael Sipser,Course Technology,661,8,true,978-5312061304
Practical Artificial Intelligence with Swift: From Fundamental Theory to Development of AI-Driven Apps,Mars Geldard,O’Reilly Media,110,7,false,978-6579108747
Computational Chemistry: Introduction to the Theory and Applications of Molecular and Quantum Mechanics,Errol G. Lewars (auth.),Springer International Publishing,112,6,true,978-5487625985
Essentials of Computational Chemistry: Theories and Models,Christopher J. Cramer,Wiley,574,4,false,978-5066736087
Algorithms and theory of computation handbook,Mikhail J. Atallah,CRC Press,621,10,false,978-9456734625
What Can Be Computed?: A Practical Guide to the Theory of Computation,John MacCormick,Princeton University Press,421,1,true,978-1432786381
Theory of modeling and simulation: discrete event and iterative system computational foundations,Kofman,"Elsevier, Academic Press",970,4,false,978-6446492174
